timestamp,crowd_count,density_level
2026-03-02 14:21:13,5,Low
2026-03-02 14:21:14,4,Low
2026-03-02 14:21:15,3,Low
2026-03-02 14:21:16,3,Low
2026-03-02 14:21:17,3,Low
2026-03-02 14:21:18,3,Low
2026-03-02 14:21:19,3,Low
2026-03-02 14:21:20,3,Low
2026-03-02 14:21:21,3,Low
2026-03-02 14:21:23,3,Low
2026-03-02 14:21:24,3,Low
2026-03-02 14:21:25,3,Low
2026-03-02 14:21:26,3,Low
2026-03-02 14:21:27,3,Low
2026-03-02 14:21:28,2,Low
2026-03-02 14:21:29,3,Low
2026-03-02 14:21:30,3,Low
2026-03-02 14:21:31,3,Low
2026-03-02 14:21:32,3,Low
2026-03-02 14:21:33,4,Low
2026-03-02 14:21:34,4,Low
2026-03-02 14:21:35,3,Low
2026-03-02 14:21:36,3,Low
2026-03-02 14:21:37,3,Low
2026-03-02 14:21:38,4,Low
2026-03-02 14:21:39,4,Low
2026-03-02 14:21:40,4,Low
2026-03-02 14:21:41,4,Low
2026-03-02 14:21:42,4,Low
2026-03-02 14:21:43,4,Low
2026-03-02 14:21:45,5,Low
2026-03-02 14:21:46,5,Low
2026-03-02 14:21:47,5,Low
2026-03-02 14:21:48,5,Low
2026-03-02 14:21:49,5,Low
2026-03-02 14:21:50,5,Low
2026-03-02 14:21:51,4,Low
2026-03-02 14:21:52,4,Low
2026-03-02 14:21:53,4,Low
2026-03-02 14:21:54,4,Low
2026-03-02 14:21:55,4,Low
2026-03-02 14:21:56,4,Low
2026-03-02 14:21:57,5,Low
2026-03-02 14:21:58,5,Low
2026-03-02 14:21:59,4,Low
2026-03-02 14:22:00,4,Low
2026-03-02 14:22:01,5,Low
2026-03-02 14:22:02,6,Low
2026-03-02 14:22:03,6,Low
2026-03-02 14:22:05,5,Low
2026-03-02 14:22:06,5,Low
2026-03-02 14:22:07,4,Low
2026-03-02 14:22:08,5,Low
2026-03-02 14:22:09,6,Low
2026-03-02 14:22:10,6,Low
2026-03-02 14:22:11,6,Low
2026-03-02 14:22:12,6,Low
2026-03-02 14:22:13,4,Low
